mass [kg],skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
19.181761904577822,0.3,0.9000000000000001,20.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,1325.919497793508
19.181761904577822,0.3,0.8,20.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,1325.919497793508
19.181761904577822,0.3,0.8,20.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,1325.919497793508
19.181761904577822,0.3,0.9000000000000001,20.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,1325.919497793508
19.181761904577822,0.3,0.9000000000000001,10.0,20.0,140.0,649.9999999999999,AA2024-T3,AA2024-T3,1969.441372319259
19.181761904577822,0.3,0.9000000000000001,10.0,20.0,140.0,700.0,AA2024-T3,AA2024-T3,1969.441372319259
19.181761904577822,0.3,0.9000000000000001,10.0,20.0,140.0,749.9999999999999,AA2024-T3,AA2024-T3,1969.441372319259
19.18734594000305,0.3,0.8,14.999999999999998,20.0,260.0,449.99999999999994,AA2024-T3,AA2024-T3,1194.7382591572496
19.18734594000305,0.3,0.9000000000000001,14.999999999999998,20.0,260.0,449.99999999999994,AA2024-T3,AA2024-T3,1194.7382591572496
19.18734594000305,0.3,0.9000000000000001,14.999999999999998,20.0,260.0,499.99999999999994,AA2024-T3,AA2024-T3,1194.7382591572496
19.18734594000305,0.3,0.8,14.999999999999998,20.0,260.0,499.99999999999994,AA2024-T3,AA2024-T3,1194.7382591572496
19.23330180146566,0.3,0.9000000000000001,14.999999999999998,20.0,280.0,399.99999999999994,AA2024-T3,AA2024-T3,1092.8637277298133
19.23330180146566,0.3,0.8,14.999999999999998,20.0,280.0,399.99999999999994,AA2024-T3,AA2024-T3,1092.8637277298133
19.270881609790436,0.3,0.9000000000000001,14.999999999999998,20.0,220.00000000000003,599.9999999999999,AA2024-T3,AA2024-T3,1436.9329121457029
19.270881609790436,0.3,0.9000000000000001,14.999999999999998,20.0,220.00000000000003,549.9999999999999,AA2024-T3,AA2024-T3,1436.9329121457029
19.270881609790436,0.3,0.8,14.999999999999998,20.0,220.00000000000003,599.9999999999999,AA2024-T3,AA2024-T3,1436.9329121457029
19.270881609790436,0.3,0.8,14.999999999999998,20.0,220.00000000000003,549.9999999999999,AA2024-T3,AA2024-T3,1436.9329121457029
19.284841698353503,0.3,0.9000000000000001,10.0,20.0,280.0,300.0,AA2024-T3,AA2024-T3,860.1174303111618
19.284841698353503,0.3,0.8,10.0,20.0,280.0,300.0,AA2024-T3,AA2024-T3,860.1174303111618
19.31683747125305,0.3,0.9000000000000001,14.999999999999998,20.0,240.00000000000003,499.99999999999994,AA2024-T3,AA2024-T3,1301.387694031674
19.31683747125305,0.3,0.9000000000000001,14.999999999999998,20.0,240.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,1301.387694031674
19.31683747125305,0.3,0.8,14.999999999999998,20.0,240.00000000000003,499.99999999999994,AA2024-T3,AA2024-T3,1301.387694031674
19.31683747125305,0.3,0.8,14.999999999999998,20.0,240.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,1301.387694031674
19.31962948896566,0.3,0.8,10.0,20.0,180.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1453.280546373275
19.31962948896566,0.3,0.9000000000000001,10.0,20.0,180.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1453.280546373275
19.35441727957782,0.3,0.9000000000000001,14.999999999999998,20.0,200.0,649.9999999999999,AA2024-T3,AA2024-T3,1609.2271779335538
19.35441727957782,0.3,0.8,14.999999999999998,20.0,200.0,749.9999999999999,AA2024-T3,AA2024-T3,1609.2271779335538
19.35441727957782,0.3,0.8,14.999999999999998,20.0,200.0,700.0,AA2024-T3,AA2024-T3,1609.2271779335538
19.35441727957782,0.3,0.8,14.999999999999998,20.0,200.0,649.9999999999999,AA2024-T3,AA2024-T3,1609.2271779335538
19.35441727957782,0.3,0.9000000000000001,14.999999999999998,20.0,200.0,749.9999999999999,AA2024-T3,AA2024-T3,1609.2271779335538
19.35441727957782,0.3,0.9000000000000001,14.999999999999998,20.0,200.0,700.0,AA2024-T3,AA2024-T3,1104.754006827525
19.360001315003046,0.3,0.9000000000000001,10.0,20.0,160.00000000000003,499.99999999999994,AA2024-T3,AA2024-T3,1674.763152784184
19.360001315003046,0.3,0.9000000000000001,10.0,20.0,160.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,1674.763152784184
